classe,municipio,uf,tipo,situacao,area,vpp,vup,vm,lances,exposicao,selic,igpm,ipca,incc,pib,idade,condominio,esquina,vagas,abaixo,arrematado
1,3507605,35,6,1,143.27,98637.24,49318.62,73978,13,28,6.5,82786,45754,41029,1.1,6,2,2,0,0.5,SIM
1,3550308,35,2,1,172,887633.33,624698.59,812108,0,29,6.5,82786,45754,41029,1.1,36,2,1,0,0.3,NAO
1,3548708,35,1,1,55686,223893.83,157572,204844,0,28,6.5,82786,45754,41029,1.1,21,1,2,1,0.3,NAO
1,3548708,35,1,1,583287,211017.54,106078.51,159118,1,28,6.5,82786,45754,41029,1.1,31,1,1,1,0.5,SIM
1,3534401,35,2,1,292.75,464380.11,233443.88,350166,2,28,6.5,82786,45754,41029,1.1,31,2,2,0,0.5,SIM
1,3548708,35,1,1,106.92,281669.11,141595.06,212393,1,28,6.5,82786,45754,41029,1.1,29,1,2,1,0.5,SIM
1,3550308,35,1,2,68.96,302856.6,152246.01,228369,38,26,6.5,82786,45754,41029,1.1,14,1,1,0,0.5,SIM
2,3547304,35,5,1,20.81,353902.71,17695136,26542704,0,20,6.5,82786,45754,41029,1.1,21,1,1,0,0.5,NAO
1,3550308,35,1,1,18.73,464146.52,279490.47,447185,2,39,6.5,82786,45754,41029,1.1,20,1,2,2,0.6,SIM
1,3552205,35,2,1,251.37,459400.37,229700.19,344550,0,28,6.5,82786,45754,41029,1.1,30,2,2,0,0.5,NAO
1,3550308,35,1,1,120.72,400371.98,200185.99,300279,0,28,6.5,82786,45754,41029,1.1,30,1,2,1,0.5,NAO
1,3550308,35,2,1,147,669112.06,334556.03,501834,1,28,6.5,82786,45754,41029,1.1,30,2,2,0,0.5,SIM
1,3550308,35,1,1,130.12,253011.44,127188.85,190783,17,28,6.5,82786,45754,41029,1.1,28,1,2,1,0.5,SIM
1,4125506,41,8,1,55461.17,11621867.59,7010775.39,9815086,2,28,6.5,82786,45754,41029,1.1,14,2,2,0,0.4,SIM
1,3550308,35,1,1,119.37,569195.57,420731.75,534329,0,7,6.5,82786,45754,41029,1.1,27,1,2,0,0.27,NAO
1,3550308,35,2,1,95,308085.6,154874.63,232312,0,28,6.5,82786,45754,41029,1.1,38,2,2,0,0.5,NAO
3,3515707,35,3,1,10582,10874650.81,6560024.35,9184034,0,28,6.5,82786,45754,41029,1.1,43,2,2,0,0.4,NAO
1,3550308,35,1,1,29.4,210359.03,147251.32,192899,1,29,6.5,82786,45754,41029,1.1,20,1,2,0,0.31,NAO
2,3515707,35,8,1,552,1359760.95,820262.19,1148367,0,30,6.5,82786,45754,41029,1.1,30,2,2,0,0.4,NAO
1,3550308,35,1,1,340994,752580.4,453986.6,635581,0,31,6.5,82786,45754,41029,1.1,27,1,2,3,0.4,NAO
2,3515707,35,6,1,552,1360441.1,820672.49,1148941,0,32,6.5,82786,45754,41029,1.1,30,2,2,0,0.4,NAO
1,3550308,35,1,1,759.43,4663991.52,2813506.24,3938909,0,33,6.5,82786,45754,41029,1.1,22,1,2,8,0.4,NAO
1,3523909,35,2,1,300,38584.53,19396.44,29095,0,31,6.5,82786,45754,41029,1.1,29,2,2,0,0.5,NAO
1,3509502,35,1,1,64.71,191592.16,134838.73,175290,0,27,6.5,82786,45754,41029,1.1,25,1,2,1,0.3,NAO
1,3550308,35,1,1,391.58,839937.35,591131.1,768470,0,37,6.5,82786,45754,41029,1.1,27,1,2,3,0.3,NAO
1,3550308,35,2,1,216,1128870.6,794476.55,1032820,0,38,6.5,82786,45754,41029,1.1,43,2,2,0,0.3,NAO
1,2413003,35,1,2,43.6,140833.57,95000,126350,1,43,6.5,82786,45754,41029,1.1,13,1,2,0,0.33,SIM
1,3550308,35,2,1,97.67,537255.24,270078.21,405117,1,44,6.5,82786,45754,41029,1.1,29,2,2,0,0.5,NAO
1,3550308,35,1,2,351794,680415.16,410453.64,574635,1,46,6.5,86555,49406,43209,1.1,30,1,2,4,0.4,SIM
1,3550308,35,2,1,85,492280.43,247469.37,371204,1,47,6.5,86555,49406,43209,1.1,30,2,2,0,0.5,SIM
1,3550308,35,2,1,180,339176.65,204604.92,286447,33,48,6.5,86555,49406,43209,1.1,36,2,2,0,0.4,SIM
1,3513009,35,2,1,404.65,866547.77,522736.28,731831,0,49,6.5,86555,49406,43209,1.1,32,1,2,0,0.4,NAO
1,3518800,35,8,1,352,305320.42,153484.58,230227,1,50,6.5,86555,49406,43209,1.1,30,2,2,0,0.5,SIM
1,3518800,35,1,1,100215,303895.72,246113.15,295336,0,1,6.5,82786,45754,41029,1.1,5,1,2,1,0.2,NAO
1,3548708,35,2,1,100,122137.17,122137.17,170992,2,26,6.5,86555,49406,43209,1.1,29,2,2,0,0.4,SIM
1,3550308,35,1,2,60.8,262475.71,131237.86,196857,1,60,6.5,86555,49406,43209,1.1,30,1,2,1,0.5,SIM
2,3554003,35,3,1,5207.17,5449970.2,2734795.03,4102193,0,61,6.5,86555,49406,43209,1.1,30,2,1,0,0.5,NAO
1,3552205,35,2,1,262,177839.65,106703.79,149385,0,54,6.5,86555,49406,43209,1.1,41,2,2,0,0.4,NAO
1,3550308,35,2,1,260,740917.21,135299.7,246245,54,36,6.5,86555,49406,43209,1.1,38,2,2,0,0.82,SIM
2,3550308,35,7,2,63.56,204749.22,164389.06,197267,0,65,6.5,86555,49406,43209,1.1,20,1,2,1,0.2,NAO
1,3550308,35,1,2,94.64,238945.95,167864.3,218224,0,66,6.5,86555,49406,43209,1.1,30,1,2,1,0.3,NAO
1,3550308,35,2,1,329.35,365396.41,182698.21,274047,1,67,6.5,86555,49406,43209,1.1,30,2,2,4,0.5,SIM
1,3550308,35,1,1,87.53,412419.3,248342.41,347679,1,86,6.5,86555,49406,43209,1.1,30,1,2,0,0.4,SIM
1,3525904,35,8,2,7230.06,363791.36,182550.5,273826,0,69,6.5,86555,49406,43209,1.1,12,2,2,0,0.5,NAO
1,3550308,35,2,1,324,620861.35,373857.87,523401,1,70,6.5,86555,49406,43209,1.1,41,2,2,0,0.4,SIM
3,3519071,35,3,1,24200,23916818.07,11958409.03,18057198,0,63,6.5,86555,49406,43209,1.1,44,2,2,0,0.51,NAO
1,3515004,35,8,1,297,60354.04,36342.79,50880,0,72,6.5,86555,49406,43209,1.1,30,2,2,0,0.4,NAO
3,3550605,35,3,1,9000.3,3420062.51,2574281.04,3217851,0,73,6.5,86555,49406,43209,1.1,30,2,2,0,0.25,NAO
1,3509502,35,1,2,495.75,821802.07,494856.33,692799,1,74,6.5,86555,49406,43209,1.1,30,1,1,0,0.4,SIM
2,3509502,35,7,2,56.18,138085.7,82851.42,116821,0,67,6.5,86555,49406,43209,1.1,30,1,2,1,0.41,NAO
1,3550308,35,1,1,101.97,85256.84,51154.1,72127,1,58,6.5,86555,49406,43209,1.1,30,1,1,1,0.41,SIM
2,3552205,35,5,1,30.6,108161.74,65130.67,91183,0,80,6.5,86555,49406,43209,1.1,30,2,2,0,0.4,NAO
1,3505708,35,2,1,491,1359144.91,682018.91,1023028,1,81,6.5,86555,49406,43209,1.1,30,2,2,0,0.5,SIM
1,3550308,35,1,1,172.62,990107.1,596202.89,834684,32,82,6.5,76587,46584,41025,1.1,4,1,2,1,0.4,SIM
1,3550308,35,1,1,203.97,1252451.99,754176.48,1055847,53,83,6.5,76587,46584,41025,1.1,30,1,2,1,0.4,SIM
1,3549904,35,2,1,211.6,450299.04,225149.52,337724,0,70,6.5,76587,46584,41025,1.1,12,2,2,0,0.5,NAO
1,3552205,35,2,1,367.5,295820.67,148442.81,222664,0,85,6.5,76587,46584,41025,1.1,30,2,2,0,0.5,NAO
1,2611606,22,1,1,78.35,180000,90000,135000,0,86,6.5,76587,46584,41025,1.1,30,1,2,0,0.5,NAO
1,3550308,35,2,1,151424,537138.86,365209.45,485729,0,73,6.5,76587,46584,41025,1.1,30,1,2,0,0.33,NAO
1,3552205,35,8,1,239.84,122740.3,73909.3,103473,0,88,6.5,76587,46584,41025,1.1,13,1,2,0,0.4,NAO
1,3529005,35,8,2,144,72424.85,50879.91,66144,2,89,6.5,76587,46584,41025,1.1,30,2,2,0,0.3,SIM
1,3550308,35,2,1,290,1330072.43,667430.34,1001146,0,91,6.5,76587,46584,41025,1.1,38,2,2,0,0.5,NAO
1,3550308,35,1,1,71.32,201498.66,121334.43,169868,0,92,6.5,76587,46584,41025,1.1,30,1,2,0,0.4,NAO
1,2611606,26,1,2,251.96,757660,378830,568245,1,149,6.5,76587,46584,41025,1.1,40,1,2,2,0.5,SIM
2,3550308,35,7,2,340,1280000,685000,1006950,1,84,6.5,76587,46584,41025,1.1,41,1,2,0,0.47,SIM
1,3550308,35,1,1,54.14,685806.08,344137.49,516206,0,95,6.5,76587,46584,41025,1.1,30,1,1,0,0.5,NAO
1,3550308,35,2,1,559,2461870.75,1482440.08,2075416,1,96,6.5,76587,46584,41025,1.1,38,2,1,6,0.4,SIM
1,3509502,35,1,1,71.6,230313.43,90000,144900,38,79,6.5,76587,46584,41025,1.1,30,1,2,0,0.61,SIM
1,3518701,35,2,2,747075,1550000,1550000,2247500,0,78,6.5,76587,46584,41025,1.1,30,1,2,0,0.45,NAO
1,3550308,35,2,1,152,548578.01,275276.44,412915,4,101,6.5,76587,46584,41025,1.1,30,2,2,0,0.5,SIM
1,3548807,35,2,1,565,1906409.83,1147963.73,1607149,0,101,6.5,76587,46584,41025,1.1,30,2,2,0,0.4,NAO
1,3550308,35,2,1,478,834191.44,418597.26,627896,0,102,6.5,76587,46584,41025,1.1,30,2,2,0,0.5,NAO
1,3550308,35,1,1,192.07,797778.17,480390.1,672546,0,103,6.5,76587,46584,41025,1.1,30,1,2,2,0.4,NAO
2,3550308,35,7,1,16.81,25972.39,15639.53,21895,8,104,6.5,76587,46584,41025,1.1,43,1,2,0,0.4,SIM
1,3550308,35,1,1,88282,295843.38,178145.05,249403,0,106,6.5,76587,46584,41025,1.1,30,1,2,1,0.4,NAO
1,3550308,35,1,1,213673,930071.08,560232.24,784325,0,107,6.5,76587,46584,41025,1.1,30,1,2,2,0.4,NAO
1,3550308,35,1,1,301.17,2353145.84,1180808.58,1771213,0,108,6.5,76587,46584,41025,1.1,30,1,2,2,0.5,NAO
1,3509700,35,2,2,2272.05,32163.93,16139.86,24210,0,109,6.5,76587,46584,41025,1.1,30,2,2,0,0.5,NAO
1,3550308,35,1,2,1910079,510686.81,256262.64,384394,2,110,6.5,76587,46584,41025,1.1,30,1,2,2,0.5,SIM
1,3518701,35,1,1,2203616,616340.41,309279.62,463919,0,112,6.5,76587,46584,41025,1.1,30,1,2,2,0.5,NAO
1,3550308,35,1,1,139.82,484844.16,291953.76,408735,1,112,6.5,76587,46584,41025,1.1,30,1,2,2,0.4,SIM
1,3507605,35,1,1,576315,221298.16,111047.42,166571,1,114,6.5,76587,46584,41025,1.1,30,1,2,1,0.5,SIM
1,3550308,35,1,1,151.51,471076.18,235538.09,353307,8,115,6.5,76587,46584,41025,1.1,30,1,2,0,0.5,SIM
1,3550308,35,1,1,113.2,164878.66,164878.66,247318,29,110,6.5,65279,33664,37719,1.1,30,1,2,1,0.5,SIM
1,3550308,35,1,1,114.78,310250.04,310250.04,459170,22,111,6.5,65279,33664,37719,1.1,43,1,2,0,0.48,SIM
1,3550308,35,1,1,239327,1118425.26,671055.15,946188,1,173,6.5,65279,33664,37719,1.1,10,1,2,2,0.41,SIM
1,5218805,21,2,1,137.5,292483.06,194882.69,261143,0,7,6.5,76157,38903,41445,1.1,7,2,2,0,0.34,NAO
2,3552205,35,5,1,180,711905.43,325592.64,504669,32,2,6.5,76157,38903,41445,1.1,44,2,2,0,0.55,SIM
1,3550308,35,2,1,360,590890.37,295445.19,443168,10,7,6.5,76157,38903,41445,1.1,40,2,2,0,0.5,SIM
1,3550308,35,1,1,97.47,247699.91,124023.35,186035,0,53,6.5,76157,38903,41445,1.1,36,1,2,1,0.5,NAO
1,3550308,35,1,2,181375,863003.9,518527.26,725938,1,53,6.5,76157,38903,41445,1.1,30,1,2,2,0.4,SIM
1,3550308,35,1,1,85.06,304455.08,182928.79,256100,1,53,6.5,76157,38903,41445,1.1,30,1,2,1,0.4,SIM
1,3519071,35,2,1,118,102610,61652.19,86313,32,52,6.5,76157,38903,41445,1.1,30,2,1,0,0.4,SIM
1,3513801,35,1,1,92.93,179352.49,89801.79,134703,0,52,6.5,76157,38903,41445,1.1,17,1,2,1,0.5,NAO
1,3550308,35,1,1,404875,594133.36,356979.08,499771,0,51,6.5,76157,38903,41445,1.1,25,1,2,3,0.4,NAO
1,3550308,35,1,1,48.72,309464.27,186215.56,260702,2,88,6.5,76157,38903,41445,1.1,42,1,2,0,0.4,SIM
1,3523909,35,4,1,108900,1569220.52,785708.7,1178563,0,50,6.5,76157,38903,41445,1.1,15,2,2,0,0.5,NAO
1,3550308,35,1,1,81.52,380750.45,190641.75,285963,0,50,6.5,76157,38903,41445,1.1,43,1,1,0,0.5,NAO
2,3550308,35,3,1,450,1379340.91,690635.98,1035954,0,51,6.5,76157,38903,41445,1.1,38,2,2,0,0.5,NAO
1,3554953,35,2,1,90,154015.75,107961.96,140351,0,51,6.5,76157,38903,41445,1.1,39,2,2,0,0.3,NAO
1,2500734,35,1,1,135.29,401095.7,281160.06,365508,1,51,6.5,76157,38903,41445,1.1,31,1,2,1,0.3,SIM
1,3538709,35,8,2,18048.5,5776000,5776000,6353600,0,0,6.5,76157,38903,41445,1.1,11,2,2,0,0.1,NAO
1,3554003,35,2,1,651,475130.99,237898.08,356847,0,50,6.5,67516,37765,40925,1.1,34,2,2,0,0.5,NAO
1,3523909,35,8,1,162258,74112583.26,37108170.04,55662255,0,52,6.5,67516,37765,40925,1.1,29,2,2,0,0.5,NAO
1,3550308,35,1,1,47.92,200953.03,120438.77,169819,0,52,6.5,67516,37765,40925,1.1,31,1,1,0,0.41,NAO
1,4213807,35,1,1,41.3,105616.09,52808.05,79212,20,7,6.5,67516,37765,40925,1.1,33,1,1,0,0.5,SIM
